Q,J_1s(2),J_2s(2),J_2p(6),J_3s(2),J_3p(6),J_3d(8),J_4s(2),J_total_Ni
2.85,0.030129064553811608,0.07547613996057617,0.05734727649961903,0.020074357685466906,0.05455662415088402,0.06819109445785888,0.0018365119566677792,1.471984307878934
2.9000000000000004,0.030093804736850024,0.07435124214398366,0.05721546987626793,0.01928758322898713,0.051778729777976776,0.06601162930278819,0.0016760425356646075,1.4328755776387445
2.95,0.030057989044760994,0.0732261403906229,0.05707878154521437,0.018601358174891516,0.04910923392049342,0.06389221063163177,0.0015341661260982243,1.3951050853200482
3.0,0.03002162035584621,0.07210144181097498,0.0569371808907657,0.01800652204697765,0.04654728610201091,0.061832170175725155,0.0014091568131735096,1.3586416454164056
3.0500000000000003,0.02998470158886343,0.07097774069863162,0.05679064222563933,0.017494389116291954,0.044091702942264575,0.05983073623304714,0.0012994049422448688,1.3234524335638644
3.1,0.029947235702541753,0.06985561817110422,0.05663914479386569,0.017056753126807978,0.04174100381782055,0.05788704831644201,0.0012034147048053413,1.289503321612172
3.1500000000000004,0.029909225695082295,0.06873564183457179,0.0564826727638069,0.016685887746524432,0.03949344494700997,0.056000170412195176,0.0011198006989746071,1.256759181512769
3.2,0.029870674603644967,0.06761836547293006,0.05632121521161428,0.016374543282808462,0.03734705177354875,0.054169102942978914,0.0010472837312499816,1.2251841596360764
3.25,0.029831585503822096,0.06650432876145161,0.05615476609545894,0.016115940167660214,0.03529964956002873,0.05239279352937304,0.000984686079707057,1.1947419231931922
3.3000000000000003,0.029791961509099657,0.0653940570053058,0.05598332422087859,0.01590375968373994,0.033348892134848464,0.05067014664272966,0.0009309263990255925,1.1653958804705415
3.35,0.02975180577030689,0.06428806090311875,0.05580689319759214,0.01573213236629681,0.031492288764360006,0.049000032239449806,0.0008850144138280182,1.1371093765944125
3.4000000000000004,0.029711121475055075,0.06318683633568045,0.05562548138813993,0.015595624480260754,0.02972722914629215,0.04738129346309019,0.0008460455180980387,1.1098458665295026
3.45,0.029669911847166254,0.06209086417982985,0.055439101848713125,0.015489222936276933,0.02805100654114462,0.04581275349639083,0.0008131953742215868,1.0835690669852622
3.5,0.029628180146092673,0.06100061014747035,0.05524777226254026,0.015408318974841755,0.02646083907551907,0.04429322164053458,0.0007857145848618358,1.0582430888591658
3.5500000000000003,0.02958592966632767,0.05991652464959065,0.055051514866202196,0.015348690914306165,0.02495388926556297,0.04282149869390943,0.0007629234939115029,1.0338325517901383
3.6,0.029543163736808774,0.05883904268508802,0.05485035636924937,0.015306486226627567,0.023527281820144883,0.041396381697494385,0.0007442071586877568,1.0103026823307448
