E0_keV,Eprime_keV,E0_minus_Eprime_keV,theta_deg,q_gamma_keV_c,Q_au,Q_absolute_au
662.0,612.2869881164756,49.71301188352436,30.0,333.2871101614721,-24.25911454890536,24.25911454890536
662.0,210.26182007384753,451.7381799261525,30.0,491.28822721369283,60.15458242291185,60.15458242291185
662.0,636.6245878882614,25.37541211173857,30.0,337.0013157311325,-34.88336342115311,34.88336342115311
662.0,259.2373602122186,402.7626397877814,30.0,456.2914421294467,59.80272078657048,59.80272078657048
662.0,229.48135784035722,432.5186421596428,30.0,477.26127213730194,60.220254345367564,60.220254345367564
662.0,275.2859886392527,386.7140113607473,30.0,445.3971333609043,59.28422423816672,59.28422423816672
662.0,301.193792670836,360.806207329164,30.0,428.49455846231467,57.95791277694698,57.95791277694698
662.0,461.5118160606355,200.4881839393645,30.0,349.3702469977933,31.806590898758024,31.806590898758024
662.0,142.2229063684663,519.7770936315337,30.0,543.5035074479633,58.20194324556796,58.20194324556796
662.0,372.48563816061784,289.51436183938216,30.0,387.15752515194174,50.58361392094175,50.58361392094175
662.0,585.2322136486715,76.76778635132848,30.0,331.21468472934777,-12.654878666683661,12.654878666683661
662.0,227.37299162857616,434.6270083714238,30.0,478.78240933291977,60.22518436903727,60.22518436903727
662.0,338.52709920908654,323.47290079091346,30.0,405.81209340310335,54.840707271417706,54.840707271417706
662.0,313.1145217304377,348.8854782695623,30.0,421.02502473095115,57.12628973544393,57.12628973544393
662.0,118.350826836896,543.649173163104,30.0,562.6257842394418,56.99761362655525,56.99761362655525
662.0,375.727322748991,286.272677251009,30.0,385.48598806066104,50.099506695884074,50.099506695884074
662.0,620.9535544457003,41.04644555429968,30.0,334.41145461418915,-28.03159052691861,28.03159052691861
662.0,290.7351355385192,371.2648644614808,30.0,435.21131146516973,58.56985802594583,58.56985802594583
662.0,267.16356967236044,394.83643032763956,30.0,450.87239064754544,59.57401170422121,59.57401170422121
662.0,217.99314223673247,444.00685776326753,30.0,485.6029540163761,60.210375631293445,60.210375631293445
662.0,309.769672466833,352.230327533167,30.0,423.1003200922799,57.3744849951444,57.3744849951444
662.0,194.8050721978271,467.1949278021729,30.0,502.81814312968226,59.93165498141592,59.93165498141592
662.0,259.60866285942467,402.39133714057533,30.0,456.0359491305099,59.79316816793245,59.79316816793245
662.0,172.1094849433885,489.8905150566115,30.0,520.1172024531031,59.35658798749167,59.35658798749167
662.0,576.464694829639,85.53530517036097,30.0,331.0150443151316,-8.977767511524489,8.977767511524489
662.0,224.23993143295164,437.7600685670484,30.0,481.05102336879133,60.226848903496034,60.226848903496034
662.0,468.0837986833404,193.91620131665962,30.0,347.32305501361617,29.950854768327083,29.950854768327083
